REPORT_DATE,RESPONDERS SHIFT,METHOD,OFFENSE,BLOCK,WARD,ANC,CENSUS_TRACT,NEIGHBORHOOD_CLUSTER,LATITUDE,LONGITUDE
2025-11-15 19:34:05+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,1300 - 1399 BLOCK OF U STREET SE,8,8A,7503,Cluster 28,38.86607925,-76.98634691
2025-11-03 12:31:32+00:00,DAY,OTHERS,THEFT/OTHER,5000 - 5099 BLOCK OF 12TH STREET NE,5,5A,9509,Cluster 20,38.95133692,-76.99055496
2025-10-31 16:22:31+00:00,DAY,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF MARYLAND AVENUE NE,5,5D,8904,Cluster 23,38.9015468,-76.97993763
2025-11-03 02:13:45+00:00,EVENING,OTHERS,THEFT/OTHER,6500 - 6599 BLOCK OF GEORGIA AVENUE NW,4,4A,1804,Cluster 17,38.96945187,-77.02730886
2025-11-03 12:19:46+00:00,DAY,OTHERS,THEFT F/AUTO,600 - 699 BLOCK OF I STREET SE,6,6B,7000,Cluster 26,38.88002726,-76.99729554
2025-11-04 18:06:50+00:00,DAY,GUN,ROBBERY,GEORGIA AVENUE NW AND HAMILTON STREET NW,4,4E,2002,Cluster 18,38.95290581,-77.02757225
2025-11-08 20:20:12+00:00,EVENING,OTHERS,THEFT/OTHER,2000 - 2198 BLOCK OF BLADENSBURG ROAD NE,5,5C,11100,Cluster 22,38.91894826,-76.97113727
2025-11-09 01:46:13+00:00,EVENING,OTHERS,THEFT/OTHER,3200 - 3299 BLOCK OF MOUNT PLEASANT STREET NW,1,1D,2702,Cluster 2,38.93184015,-77.03858249
2025-11-10 15:37:31+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,1300 - 1399 BLOCK OF EMERALD STREET NE,6,6A,8001,Cluster 25,38.89672057,-76.98690792
2025-11-11 17:03:03+00:00,DAY,OTHERS,THEFT F/AUTO,500 - 599 BLOCK OF 4TH STREET NE,6,6C,8301,Cluster 25,38.89672788,-77.00057108
2025-11-11 19:28:48+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,3700 - 3799 BLOCK OF ALTON PLACE NW,3,3E,1200,Cluster 11,38.94708779,-77.07347537
2025-11-12 13:26:12+00:00,DAY,OTHERS,THEFT/OTHER,1737 - 1776 BLOCK OF COLUMBIA ROAD NW,1,1C,3901,Cluster 1,38.92386989,-77.04087559
2025-11-13 01:22:44+00:00,EVENING,OTHERS,THEFT/OTHER,1 - 100 BLOCK OF CHESAPEAKE STREET SE,8,8D,9810,Cluster 39,38.82919651,-77.00677946
2025-11-13 15:40:44+00:00,DAY,OTHERS,THEFT F/AUTO,2ND STREET SW AND CHESAPEAKE STREET SW,8,8D,9807,Cluster 44,38.82851812,-77.01388908
2025-11-14 03:03:13+00:00,EVENING,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF M STREET NE,6,6E,10603,Cluster 25,38.9056424,-77.00747409
2025-11-14 15:26:31+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,1800 - 1869 BLOCK OF BENNING ROAD NE,7,7D,7901,Cluster 25,38.89899455,-76.97698994
2025-11-14 16:55:33+00:00,DAY,OTHERS,THEFT/OTHER,300 - 399 BLOCK OF G STREET NE,6,6C,8301,Cluster 25,38.89891168,-77.00130785
2025-11-14 23:11:52+00:00,EVENING,OTHERS,THEFT/OTHER,1800 - 1823 BLOCK OF 14TH STREET NW,1,1B,4402,Cluster 3,38.91446221,-77.03195329
2025-11-17 13:07:49+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,200 - 299 BLOCK OF OKLAHOMA AVENUE NE,7,7D,7903,Cluster 25,38.8948657,-76.97419496
2025-11-18 23:53:31+00:00,EVENING,OTHERS,THEFT/OTHER,321 - 399 BLOCK OF 50TH STREET SE,7,7E,9904,Cluster 33,38.88429253,-76.93087419
2025-11-20 04:17:01+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,7816 - 7899 BLOCK OF GEORGIA AVENUE NW,4,4A,1600,Cluster 16,38.98447704,-77.02660595
2025-11-22 06:35:49+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,100 - 101 BLOCK OF RIDGE ROAD SE,7,7F,7703,Cluster 32,38.88809784,-76.95140997
2025-11-24 00:10:49+00:00,EVENING,OTHERS,THEFT/OTHER,1 - 1 BLOCK OF THOMAS CIRCLE NW,2,2C,10100,Cluster 8,38.90543809,-77.03234181
2025-11-24 02:08:08+00:00,EVENING,OTHERS,MOTOR VEHICLE THEFT,3500 - 3899 BLOCK OF JAY STREET NE,7,7D,9602,Cluster 30,38.90396883,-76.94720621
2025-11-27 21:49:33+00:00,EVENING,OTHERS,THEFT/OTHER,3200 - 3247 BLOCK OF O STREET NW,2,2E,202,Cluster 4,38.90783543,-77.06443204
2025-11-28 22:07:17+00:00,EVENING,OTHERS,THEFT/OTHER,5900 - 5999 BLOCK OF GEORGIA AVENUE NW,4,4B,1901,Cluster 17,38.96197956,-77.02794983
2025-10-31 11:46:18+00:00,DAY,OTHERS,THEFT/OTHER,2200 - 2299 BLOCK OF SHERMAN AVENUE NW,1,1E,3500,Cluster 3,38.92031495,-77.02519628
2025-11-17 19:33:09+00:00,DAY,OTHERS,THEFT F/AUTO,1500 - 1549 BLOCK OF MASSACHUSETTS AVENUE NW,2,2C,10100,Cluster 6,38.90670795,-77.0349992
2025-11-17 19:33:51+00:00,DAY,OTHERS,THEFT/OTHER,1600 - 1626 BLOCK OF ECKINGTON PLACE NE,5,5F,8702,Cluster 21,38.91148833,-77.00468385
2025-11-17 20:33:15+00:00,EVENING,OTHERS,THEFT/OTHER,2201 - 2299 BLOCK OF 10TH STREET NW,1,1B,4401,Cluster 3,38.91985716,-77.0259927
2025-11-17 22:33:34+00:00,EVENING,OTHERS,THEFT/OTHER,2000 - 2029 BLOCK OF S STREET NW,2,2B,4202,Cluster 6,38.91409056,-77.04544643
2025-11-18 16:32:39+00:00,DAY,OTHERS,THEFT/OTHER,4500 - 4537 BLOCK OF WISCONSIN AVENUE NW,3,3E,1100,Cluster 11,38.94835706,-77.07993731
2025-11-19 12:32:50+00:00,DAY,OTHERS,THEFT/OTHER,3920 - 4099 BLOCK OF VAN NESS STREET NW,3,3A,1002,Cluster 11,38.94316231,-77.07918089
2025-11-26 12:02:36+00:00,DAY,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF T STREET SE,8,8A,7601,Cluster 34,38.86758214,-76.98607217
2025-11-17 21:34:26+00:00,EVENING,OTHERS,THEFT/OTHER,1900 - 1999 BLOCK OF CONNECTICUT AVENUE NW,1,1C,4002,Cluster 1,38.91638366,-77.04651899
2025-11-17 22:02:18+00:00,EVENING,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF 47TH STREET NE,7,7C,7806,Cluster 31,38.90414818,-76.93540729
2025-11-28 18:01:44+00:00,DAY,OTHERS,THEFT/OTHER,4800 - 4815 BLOCK OF SHERIFF ROAD NE,7,7C,7806,Cluster 31,38.90292434,-76.93323845
2025-11-09 04:28:03+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1000 - 1249 BLOCK OF BRENTWOOD ROAD NE,5,5C,9102,Cluster 22,38.92015701,-76.99030597
2025-11-09 12:12:59+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,3500 - 3699 BLOCK OF ELY PLACE SE,7,7F,7703,Cluster 32,38.88362719,-76.95384088
2025-11-10 19:03:16+00:00,DAY,OTHERS,THEFT/OTHER,1737 - 1776 BLOCK OF COLUMBIA ROAD NW,1,1C,3901,Cluster 1,38.92386989,-77.04087559
2025-11-11 02:14:12+00:00,EVENING,OTHERS,ROBBERY,5200 - 5355 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,7,7C,7807,Cluster 31,38.89834668,-76.92446902
2025-11-12 22:27:14+00:00,EVENING,OTHERS,THEFT/OTHER,3200 - 3275 BLOCK OF M STREET NW,2,2E,202,Cluster 4,38.90515109,-77.0639959
2025-11-13 04:49:31+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,1 - 21 BLOCK OF MISSISSIPPI AVENUE SE,8,8D,9803,Cluster 39,38.83174284,-77.00734393
2025-11-01 09:22:18+00:00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,400 - 499 BLOCK OF 8TH STREET SE,6,6B,7000,Cluster 26,38.88323093,-76.99497417
2025-11-03 19:07:23+00:00,DAY,OTHERS,THEFT/OTHER,300 - 399 BLOCK OF M STREET SE,8,8F,7203,Cluster 27,38.87648036,-77.00130946
2025-11-05 15:43:53+00:00,DAY,OTHERS,THEFT/OTHER,1600 - 1623 BLOCK OF 7TH STREET NW,2,2G,4901,Cluster 7,38.91171806,-77.02191846
2025-11-08 00:36:41+00:00,EVENING,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF 7TH STREET NW,2,2C,5801,Cluster 8,38.89912971,-77.02191656
2025-11-01 11:25:04+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,3200 - 3218 BLOCK OF GEORGIA AVENUE NW,1,1E,3200,Cluster 2,38.93030771,-77.02341229
2025-11-02 17:20:25+00:00,DAY,OTHERS,THEFT/OTHER,5900 - 5999 BLOCK OF GEORGIA AVENUE NW,4,4B,1901,Cluster 17,38.96197956,-77.02794983
2025-11-03 20:31:43+00:00,EVENING,OTHERS,BURGLARY,5000 - 5099 BLOCK OF BASS PLACE SE,7,7E,9904,Cluster 33,38.8858345,-76.92937876
2025-11-06 19:01:31+00:00,DAY,OTHERS,THEFT/OTHER,500 - 503 BLOCK OF 12TH STREET SE,6,6B,6900,Cluster 26,38.88254568,-76.9902425
2025-11-13 07:31:13+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1 - 69 BLOCK OF I STREET SE,6,8F,7202,Cluster 27,38.87928638,-77.00826113
2025-11-09 18:24:00+00:00,DAY,OTHERS,THEFT/OTHER,4800 - 4899 BLOCK OF MASSACHUSETTS AVENUE NW,3,3E,1003,Cluster 11,38.94512631,-77.09578162
2025-11-09 23:44:48+00:00,EVENING,GUN,ROBBERY,800 - 899 BLOCK OF 10TH STREET NW,2,2C,5802,Cluster 8,38.9003432,-77.02599355
2025-11-10 13:10:12+00:00,DAY,OTHERS,MOTOR VEHICLE THEFT,5700 - 5799 BLOCK OF DIX STREET NE,7,7C,7808,Cluster 31,38.89460379,-76.91845422
2025-11-12 16:57:27+00:00,DAY,OTHERS,THEFT F/AUTO,1100 - 1199 BLOCK OF 5TH STREET NE,6,6C,10602,Cluster 25,38.90468388,-76.99950598
2025-11-12 15:55:27+00:00,DAY,OTHERS,ROBBERY,1 - 199 BLOCK OF 19TH STREET NE,7,7D,8002,Cluster 26,38.8909013,-76.97725582
2025-11-16 02:21:03+00:00,EVENING,OTHERS,ROBBERY,2400 - 2499 BLOCK OF 18TH STREET NW,1,1C,3802,Cluster 1,38.92162305,-77.04236546
2025-11-17 18:34:37+00:00,DAY,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF U STREET NW,1,1B,4402,Cluster 3,38.91700008,-77.03078611
2025-11-17 20:01:46+00:00,EVENING,OTHERS,THEFT F/AUTO,23RD STREET NW AND N STREET NW,2,2A,5503,Cluster 5,38.90724637,-77.05010116
2025-11-19 02:29:31+00:00,EVENING,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF VERMONT AVENUE NW,2,2F,5003,Cluster 7,38.90790323,-77.03063138
2025-11-19 04:28:46+00:00,MIDNIGHT,OTHERS,THEFT F/AUTO,4400 - 4499 BLOCK OF YUMA STREET NW,3,3E,1004,Cluster 11,38.94628484,-77.0874213
2025-11-20 06:45:39+00:00,MIDNIGHT,OTHERS,THEFT/OTHER,1800 - 1869 BLOCK OF BENNING ROAD NE,7,7D,7901,Cluster 25,38.89899455,-76.97698994
2025-11-21 03:34:57+00:00,EVENING,OTHERS,THEFT F/AUTO,4300 - 4399 BLOCK OF GARRISON STREET NW,3,3E,1004,Cluster 11,38.95595558,-77.08473898
2025-11-22 23:31:48+00:00,EVENING,OTHERS,THEFT F/AUTO,2206 - 2399 BLOCK OF RHODE ISLAND AVENUE NE,5,5C,11100,Cluster 22,38.93063473,-76.97290887
2025-10-31 19:01:12+00:00,EVENING,OTHERS,THEFT/OTHER,1600 - 1618 BLOCK OF 17TH STREET NW,2,2B,5302,Cluster 6,38.9114974,-77.03848454
2025-11-04 23:01:48+00:00,EVENING,OTHERS,THEFT/OTHER,1498 - 1589 BLOCK OF SPRING PLACE NW,1,1D,2801,Cluster 2,38.93673468,-77.03526907
2025-11-17 18:34:24+00:00,DAY,OTHERS,THEFT/OTHER,400 - 499 BLOCK OF M STREET NW,2,2G,4802,Cluster 8,38.90564375,-77.01755283
2025-11-19 12:32:45+00:00,DAY,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF R STREET NW,2,2F,5001,Cluster 7,38.91260879,-77.03078756
2025-11-26 22:33:09+00:00,EVENING,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF F STREET NW,2,2C,5802,Cluster 8,38.89734789,-77.02650856
2025-11-27 03:32:09+00:00,EVENING,OTHERS,THEFT/OTHER,1418 - 1499 BLOCK OF C STREET NE,6,6A,8001,Cluster 25,38.89357162,-76.98410094
2025-11-09 18:41:54+00:00,DAY,OTHERS,THEFT/OTHER,1 - 69 BLOCK OF I STREET SE,6,8F,7202,Cluster 27,38.87928638,-77.00826113
