X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
400041.5,134410.390000001,25170603,2025/11/09 15:57:19+00,DAY,OTHERS,MOTOR VEHICLE THEFT,5TH STREET SE AND L STREET SE,400041.49999799,134410.39001016,8,8F,1,106,Cluster 27,007203 2,007203,Precinct 131,38.8775248974,-76.9995217307,CAPITOL RIVERFRONT,2025/11/09 06:30:00+00,2025/11/09 15:57:00+00,844173190,
396663.299999997,138674.399999999,25171072,2025/11/10 14:52:39+00,DAY,OTHERS,THEFT F/AUTO,1900 - 1921 BLOCK OF 17TH STREET NW,396663.3,138674.4,2,2B,3,301,Cluster 6,004201 3,004201,Precinct 141,38.9159303164,-77.0384747143,,2025/11/09 04:00:00+00,2025/11/10 13:45:00+00,844173191,
400591.799999997,132715.09,25167160,2025/11/03 10:43:48+00,MIDNIGHT,OTHERS,THEFT/OTHER,2400 - 2500 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400591.8,132715.09,8,8A,7,703,Cluster 37,007407 2,007407,Precinct 119,38.8622527489,-76.9931812237,ANACOSTIA,2025/11/03 09:55:00+00,2025/11/03 10:40:00+00,844173202,
405622.467100002,136876.791900001,25178591,2025/11/24 22:01:14+00,EVENING,OTHERS,THEFT F/AUTO,4600 - 4799 BLOCK OF HAYES STREET NE,405622.467075171,136876.791868452,7,7C,6,602,Cluster 31,007809 2,007809,Precinct 94,38.8997251942,-76.9351833596,,2025/11/23 16:00:00+00,2025/11/24 22:01:00+00,844173250,
397745.229999997,136943.719999999,25424868,2025/11/17 20:05:00+00,EVENING,OTHERS,THEFT/OTHER,800 - 899 BLOCK OF 10TH STREET NW,397745.23,136943.72,2,2C,2,209,Cluster 8,005802 5,005802,Precinct 129,38.9003431959,-77.0259935488,DOWNTOWN,2025/10/14 18:00:00+00,2025/10/14 21:00:00+00,844173288,
397262.659999996,137555.170000002,25176898,2025/11/21 19:32:57+00,DAY,OTHERS,THEFT/OTHER,10 - 10 BLOCK OF THOMAS CIRCLE NW,397262.66,137555.17,2,2F,3,307,Cluster 7,005003 2,005003,Precinct 17,38.9058499831,-77.0315591721,,2025/11/19 22:00:00+00,2025/11/20 05:15:00+00,844173308,
397029.060000002,140633.18,25171257,2025/11/10 20:20:29+00,EVENING,OTHERS,THEFT F/AUTO,1400 - 1509 BLOCK OF MERIDIAN PLACE NW,397029.06,140633.18,1,1A,4,408,Cluster 2,002801 1,002801,Precinct 41,38.9335769402,-77.0342656988,,2025/11/10 19:43:00+00,2025/11/10 19:45:00+00,844173453,
396746.969999999,137976.41,25173981,2025/11/16 00:52:34+00,EVENING,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF P STREET NW,396746.97,137976.41,2,2B,2,208,Cluster 6,005303 2,005303,Precinct 15,38.9096429011,-77.0375066283,,2025/11/15 23:28:00+00,2025/11/15 23:55:00+00,844173454,
400134.469999999,134726.609999999,25424734,2025/10/31 19:32:20+00,EVENING,OTHERS,THEFT F/AUTO,720 - 749 BLOCK OF 6TH STREET SE,400134.47,134726.61,6,6B,1,106,Cluster 26,007000 1,007000,Precinct 90,38.8803735217,-76.9984502303,,2025/10/29 21:35:00+00,2025/10/29 21:35:00+00,844173463,
395049.689999998,137806.780000001,25165827,2025/10/31 22:18:43+00,EVENING,OTHERS,THEFT F/AUTO,1326 - 1399 BLOCK OF 28TH STREET NW,395049.69,137806.78,2,2E,2,206,Cluster 4,000102 2,000102,Precinct 5,38.9081068953,-77.0570746183,,2025/10/31 16:00:00+00,2025/10/31 22:00:00+00,844173503,
397700.240000002,137185.57,25175526,2025/11/19 02:47:09+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1000 - 1099 BLOCK OF K STREET NW,397700.24,137185.57,2,2C,2,209,Cluster 8,010100 2,010100,Precinct 129,38.9025217502,-77.0265130144,DOWNTOWN,2025/11/19 02:07:00+00,2025/11/19 02:17:00+00,844173509,
400121.380000003,137998.899999999,25173811,2025/11/15 18:01:41+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1300 - 1399 BLOCK OF 4TH STREET NE,400121.38,137998.9,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,38.9098515103,-76.9986005147,,2025/11/15 17:55:00+00,2025/11/15 18:10:00+00,844173591,
400134.130000003,135232.800000001,25177015,2025/11/22 00:35:15+00,EVENING,OTHERS,THEFT F/AUTO,308 - 399 BLOCK OF 6TH STREET SE,400134.13,135232.8,6,6B,1,107,Cluster 26,006500 1,006500,Precinct 89,38.8849334767,-76.99845405,,2025/11/21 14:00:00+00,2025/11/21 20:40:00+00,844173592,
400695.042999998,129114.491500001,25166776,2025/11/02 16:33:55+00,DAY,OTHERS,THEFT/OTHER,800 - 899 BLOCK OF H R DRIVE SE,400695.043038598,129114.491509249,8,8E,7,706,Cluster 39,009700 1,009700,Precinct 125,38.829816893,-76.9919952853,,2025/11/02 15:36:00+00,2025/11/02 16:25:00+00,844173758,
